List of Detroit Red Wings players - Wikipedia
=============================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Max McNab | C | 1947–1951
Billy McNeill | RW | 1956–1964
Stu McNeill | C | 1957–1960
Basil McRae | LW | 1985–1987
Chris McRae | LW | 1989–1990
Pat McReavy | C | 1941–1942
Derek Meech | D | 2006–2010
Harry Meeking | LW | 1926–1927
Harry Meeking | LW | 1926–1927
Wade Megan | C | 2018–2019
Gerry Melnyk | C | 1955–1961
Barry Melrose | D | 1983–1986
Howie Menard | C | 1963–1964
Glenn Merkosky | LW | 1985–1990
Nick Mickoski | LW | 1957–1959
Drew Miller | LW | 2009–2017
Hugh Millar | D | 1946–1947
Perry Miller | D | 1977–1981
Kevin Miller | C | 1990–2004
Tom Miller | C | 1970–1971
Dmitri Mironov | D | 1997–1998
John Miszuk | D | 1963–1964
Bill Mitchell | D | 1963–1964
Mike Modano | C | 2010–2011
Ron Moffat | LW | 1932–1935
John Mokosak | D | 1988–1990
Garry Monahan | LW | 1969–1970
Hank Monteith | LW | 1968–1971

Glenn Moore Sr. | RW | 2005-2006
 |  | 
Don Morrison | C | 1947–1949
Rod Morrison | RW | 1947–1948
Dean Morton | D | 1989–1990
Gus Mortson | D | 1958–1959
Alex Motter | C | 1937–1943
Mark Mowers | RW | 2003–2006
Wayne Muloin | D | 1963–1964
Donald Murdoch | RW | 1981–1982
Larry Murphy | D | 1996–2001
Ron Murphy | LW | 1964–1966
Joe Murphy | RW | 1986–1990
Brian Murphy | C | 1974–1975
Terry Murray | D | 1976–1977
Ken Murray | D | 1972–1973
Jan Mursak | LW | 2010–2013
Anders Myrvold | D | 2003–2004
Jim Nahrgang | D | 1974–1977
Vaclav Nedomansky | C | 1977–1982
Andrej Nestrasil | C | 2014–2015
Kris Newbury | C | 2009–2010
Rick Newell | D | 1972–1974
John Newman | C | 1930–1931
Ed Nicholson | D | 1947–1948
Jim Niekamp | D | 1970–1972
Frans Nielsen | C | 2016–2019
Jim Nill | RW | 1987–1990
Reg Noble | C | 1927–1933
Theodore Nolan | RW | 1981–1984
Brad Norton | D | 2006–2007
Lee Norwood | D | 1986–1991
Tomas Nosek | LW | 2015–2017
Hank Nowak | LW | 1974–1975
Gustav Nyquist | RW | 2011–2019
Mike O'Connell | D | 1985–1990
Adam Oates | C | 1985–1989
Russell Oatman | LW | 1926–1927
Gerry Odrowski | D | 1960–1963
John Ogrodnick | LW | 1979–1993
Fredrik Olausson | D | 2001–2002
Murray Oliver | C | 1957–1961
Dennis Olson | C | 1957–1958
Jimmy Orlando | D | 1936–1943
Mark Osborne | LW | 1981–1983
Steve Ott | LW | 2016–2017
Xavier Ouellet | D | 2013–2018
Pete Palangio | LW | 1927–1928
