List of Washington Capitals players - Wikipedia
===============================================
Goaltenders
___________
Player Name     |     Nat.     |     Seasons
White, Tony | None | 1974–1978
Whitfield, Trent | None | 1999–2004
Wickenheiser, Doug | None | 1988–1990
Wideman, Dennis | None | 2010–2012
Wilson, Tom | None | 2012–present
Williams, Justin | None | 2015–2017
Williams, Tom | None | 1974–1976
Willsie, Brian | None | 2003–2011
Wilson, Kyle | None | 2009–2010
Winnik, Daniel | None | 2015–2017
Witt, Brendan | None | 1995–2006
Wolski, Wojtek | None | 2012–2013
Woolley, Jason | None | 1991–1994
Yake, Terry | None | 1999–2001
Yonkman, Nolan | None | 2001–20022003–20042005–2006
Zednik, Richard | None | 1995–20012006–2007
Zettler, Rob | None | 1999–2002
Zezel, Peter | None | 1990–1991
Zinger, Dwayne | None | 2003–2004
Zubrus, Dainius | None | 2000–20042005–2007


Total Goaltenders: 47
Total Skaters: 497
