List of New York Islanders players - Wikipedia
==============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
Matthew Spiller | Canada | 2007—2008
Andre St. Laurent | Canada | 1973—1978
Steve Staios | Canada | 2011—2012
Paul Stanton | United States | 1994—1995
Mike Stapleton | Canada | 2000—2001
Mike Stevens | Canada | 1988—1989
Ralph Stewart | Canada | 1972—1976
Ron Stewart | Canada | 1972—1973
Brian Strait | United States | 2012—2016
Martin Straka | Czech Republic | 1995—1996
Mark Streit | Switzerland | 2008—2013
Ryan Strome | Canada | 2013—2017
Jason Strudwick | Canada | 1995—19961997—1998
Johan Sundstrom | Sweden | 2013—2014
Brent Sutter | Canada | 1980—1992
Duane Sutter | Canada | 1979—1987
Ron Sutter | Canada | 1994—1995
Andy Sutton | Canada | 2007—2010
Ken Sutton | Canada | 2001—2002
Bob Sweeney | United States | 1995—1996
Jeff Tambellini | Canada | 2005—2010
Steve Tambellini | Canada | 1978—1981
Dick Tarnstrom | Sweden | 2001—2002
John Tavares | Canada | 2009—2018
Chris Taylor | Canada | 1994—1997
Vic Teal | Canada | 1973—1974
Gilles Thibaudeau | Canada | 1989—1990
Steve Thomas | United Kingdom | 1991—1995
Nate Thompson | United States | 2008—2010
Milan Tichy | Czech Republic | 1994—1996
Mattias Timander | Sweden | 2002—2004
Devon Toews | Canada | 2018—Present
Jeff Toms | Canada | 2000—2001
John Tonelli | Canada | 1978—1986
Raffi Torres | Canada | 2001—2003
Graeme Townshend | Jamaica | 1991—1993
Bryan Trottier | Canada | 1975—1990
Marko Tuomainen | Finland | 2001—2002
Pierre Turgeon | Canada | 1991—1995
Brad Turner | Canada | 1991—1992
David Ullstrom | Sweden | 2011—2013
Nicholas Vachon | Canada | 2001—2002
Thomas Vanek | Austria | 2013—2014
Darren Van Impe | Canada | 2001—2002
Josef Vasicek | Czech Republic | 2007—2008
Andrei Vasilyev | Russia | 1994—1997
Dennis Vaske | United States | 1990—1998
Yvon Vautour | Canada | 1979—1980
Lubomir Visnovsky | Slovakia | 2012—2015
David Volek | Czech Republic | 1988—1994
Mick Vukota | Canada | 1987—1997
Chris Wagner | United States | 2017—2018
Tim Wallace | Canada | 2011—2012
Mike Walsh | United States | 1987—1989
Ben Walter | Canada | 2007—2009
Mike Watt | Canada | 2008—2010
Steve Webb | Canada | 1996—2004
Doug Weight | United States | 2008—2011
Mattias Weinhandl | Sweden | 2002—2006
Ed Westfall | Canada | 1972—1979
